filename,BaldSpot,CutsWounds,Dandruff,Rashes,TickFleas
images-6_jpeg.rf.1bfbc32df75310588674d41bdeee85e4.jpg,0,0,1,0,0
istockphoto-2151064986-612x612_jpg.rf.5feb6b6466ab71625bd799718a3268ed.jpg,0,0,1,0,0
images-5_jpeg.rf.35121323b3051c54089de3fef7c9b5fd.jpg,0,1,0,0,0
pictures-skin-problems-dogs-dandruff-600nw-2258855509_jpg.rf.afae6bf549760f28b5b5f57d113873c1.jpg,0,0,1,0,0
alo_Figure-2_jpg.rf.6e8d69624f76a1f5fc69791a2e5da4fa.jpg,1,0,0,0,0
images-4_jpeg.rf.208a8aaffbb86e0aa197f245d1038812.jpg,0,1,0,0,0
Nose-wound-min-min-300x300_jpg.rf.a066f2975102894cf1015b425f61b2fe.jpg,0,1,0,0,0
p1cdpsbq8916oc1onscsp1oqv16ov6_jpg.rf.03699b1dc13eb6a73b1d015c4e1b8772.jpg,0,1,0,0,0
Dog-hair-loss-dog-allergy_Ri6ka_Shutterstock_jpg.rf.6b5cf4d5088f3a3bbce5475b25956aa0.jpg,1,0,0,0,0
Picture3_jpg.rf.c797f1d1d1fc703581269a92a73202f3.jpg,0,0,1,0,0
Dog_wound_Banner_a0f3e047-a4bc-4ae2-900c-f83831ac6cc5_480x480_jpg.rf.56d928090fd1bc4244e54f47538fe291.jpg,0,1,0,0,0
images-8_jpeg.rf.30de4fea9e10444c82aee0c8a955cde2.jpg,0,0,1,0,0
images-3_jpeg.rf.40f37d031681a9076671d53e5f6344de.jpg,0,1,0,0,0
istockphoto-1295722630-612x612_jpg.rf.76fd2e6b3d49455fd3361a6744507678.jpg,0,1,0,0,0
images-6_jpeg.rf.0b27975d17b28de62af2b2ec3f7887fa.jpg,0,1,0,0,0
images-2_jpeg.rf.5becfca3bb58271b4f3ca07d4eb16447.jpg,1,0,0,0,0
c4058f_c3b28994470245018dd3930ab8f49268-mv2_jpg.rf.4b085955b0fe04b814685e8645ef52b2.jpg,0,0,1,0,0
bite-wound-dog-min-300x300-min_jpeg.rf.f0080ee5915b49e366ee5a86ae6eaa50.jpg,0,1,0,0,0
extra-blog-image-ALOPECIA-IN-DOGS_jpg.rf.8db0397716f5ef765e1b670cd96a05f6.jpg,1,0,0,0,0
dog-alopecia-bald-spot-female-600nw-2189354277_jpg.rf.262a981ed862acb88fdcf61c9eebde8b.jpg,1,0,0,0,0
dog_open_wound_1_jpg.rf.a145382a21465700f9e702b16c3f0457.jpg,0,1,0,0,0
images_jpeg.rf.c5ad7bcc1cd25d99d1a62a69866573ee.jpg,0,0,1,0,0
images-2_jpeg.rf.7ebadc37015e1ec190316c2c376ed117.jpg,0,1,0,0,0
Cheyletiella-min-min-202x300_jpeg.rf.23156ed59ecebc1d569d4553917ffa39.jpg,0,0,1,0,0
symptoms-dog-dandruff_jpg.rf.63c2c799f2bd7781214197f5dfb44aed.jpg,0,0,1,0,0
skin-dog-showing-hair-loss-600nw-2161760253_jpg.rf.2f22bf992d96c3cc0d6514feaafd82c8.jpg,1,0,0,0,0
images_jpeg.rf.a00fae4954776f49d8e7cfaff63c3795.jpg,1,0,0,0,0
images-4_jpeg.rf.da280386011fbe4ff3780a086227c851.jpg,0,0,1,0,0
Dog-hair-loss-dog-allergy_Ri6ka_Shutterstock_jpg.rf.b1549c04adbf9faec79645ecb03b1fe5.jpg,1,0,0,0,0
stray-dog-lying-on-floorscabies-600nw-1907352973_jpg.rf.c003d8ce4e3b06b9fb50ef67fa40013f.jpg,0,0,1,0,0
istockphoto-523036862-612x612_jpg.rf.4b6087aca5fe87e00e0185ab5d7ef30d.jpg,0,1,0,0,0
hello-my-baby-has-these-little-bald-spots-on-his-legs-and-v0-oe45gzyi1izb1_jpg_webp.rf.19560dda09e778c984b7b212df4cce5c.jpg,1,0,0,0,0
atopic-dermatitis-labrador-dog-wound-600nw-1940340694_jpg.rf.06882ea4620e9b03fc9c585577b4eebf.jpg,0,1,0,0,0
istockphoto-523036862-612x612_jpg.rf.de19065ead49808fb86ad1dad062f45c.jpg,0,1,0,0,0
Picture3_jpg.rf.af398733ae8a6cb4fbfd520e6ffa2b33.jpg,0,0,1,0,0
extra-blog-image-ALOPECIA-IN-DOGS_jpg.rf.6db24afa04cd8fdd6a1a197805527da6.jpg,1,0,0,0,0
1541086288-dogbald_jpg.rf.63e42ab794a81c3bfe02b3e5eba2214d.jpg,1,0,0,0,0
images-7_jpeg.rf.612737567d6bf5576d359e29be48c1b3.jpg,0,0,1,0,0
dogs-leg-cut-into-by-string_jpg.rf.198ec7c9a644c4f3129352df7fae5631.jpg,0,1,0,0,0
hello-my-baby-has-these-little-bald-spots-on-his-legs-and-v0-oe45gzyi1izb1_jpg_webp.rf.7c20c836c4f596fbbbfc0b2c9a6318b9.jpg,1,0,0,0,0
images_jpeg.rf.83c649aca67969b9fb8e8af553e8eeed.jpg,0,0,1,0,0
istockphoto-1295722630-612x612_jpg.rf.a1cf87b6739e087891cc853e8c815129.jpg,0,1,0,0,0
atopic-dermatitis-labrador-dog-wound-600nw-1940340694_jpg.rf.e9b2011b0af1f5e84ce3a34037d5efb6.jpg,0,1,0,0,0
969259_10151812887038735_1859534856_n_jpg.rf.8a8aa4bb07df5f8e87298ac220cc7921.jpg,1,0,0,0,0
dog-alopecia-bald-spot-female-600nw-2189354277_jpg.rf.c37b56672e71bf28e72f89b55f2a2056.jpg,1,0,0,0,0
Cheyletiella-min-min-202x300_jpeg.rf.09279fd5f1c398443e79e1362101bde5.jpg,0,0,1,0,0
image-73367-800_jpg.rf.791948401f55f08ba6ec868b8d710bb4.jpg,1,0,0,0,0
pawpad-ouch-jg_jpg.rf.d48ae104545e51575980d140c0af9d77.jpg,0,1,0,0,0
hair-loss-patch-header-1200x797_jpg.rf.2346f3d699eb233c556e3c4d8a9e0ffb.jpg,1,0,0,0,0
