filename,dermatitis,fine,flea_allergy,ringworm,scabies
hotspot-19-_jpg.rf.81b5fef587f09938c89a10bd2d3a0c96.jpg,0,0,1,0,0
1000010494_x16_jpg.rf.81aa19b9cc088255ea4a56cfa63a4147.jpg,1,0,0,0,0
ringworm-47-_jpg.rf.850332ec24fe12d0a13afa00fda9d6b6.jpg,0,0,0,1,0
HOT-SPOT-IN-DOG-HOW-vet-treated-symptom-prevention_-flea-bite-moist-eczema_dog-itching-000361_png_jpg.rf.84c0e5f09ee6d1443c55793e452f21b7.jpg,0,0,0,0,1
Image_24_jpg.rf.84d091594fde2d20572bbc543d7f2f38.jpg,0,1,0,0,0
mange-17-_jpg.rf.84855e1500abd43c3a69e0e07af436a7.jpg,0,0,0,0,1
flea_allergy-52-_jpg.rf.8275f206fb74295ac895f3046728b0f0.jpg,0,0,1,0,0
HOT-SPOT-IN-DOG-HOW-vet-treated-symptom-prevention_-flea-bite-moist-eczema_dog-itching-000500_png_jpg.rf.88da60466d6ae8ce59b3205bcf6a58a8.jpg,0,0,0,0,1
Image_25_jpg.rf.8533a1a86463981ba01c064a63f26b5d.jpg,0,1,0,0,0
ringworm-38-_jpg.rf.83a8e868312b94b7ea8f501f0460c047.jpg,0,0,0,1,0
ringworm-126-_jpg.rf.83690b2971ece89a106fd53cf4be6972.jpg,0,0,0,1,0
OIP-6-_x4_jpg.rf.8a3d13868cfc0b9597f5fecdbb4da8a0.jpg,1,0,0,0,0
1000010648_x16_jpg.rf.88152c8aa55e2e6e3d9944c4ea2f691a.jpg,1,0,0,0,0
1000010755_x4_jpg.rf.839d18454a58d635388221cb0a035c7f.jpg,0,0,1,0,0
Image_35_jpg.rf.8872d2a2103ce0078f934c392cb35649.jpg,0,1,0,0,0
Image_79_jpg.rf.891805aae2a15afa95dbba6b58df5b85.jpg,0,1,0,0,0
1000011971_x4_jpg.rf.8aacdfdf9f21cec980975ca9b1c5ac89.jpg,1,0,0,0,0
May-is-allergy-awareness-month-here-at-The-Shot-Spot_00025_jpg.rf.858c537e533ea929e5f6837a6a23a918.jpg,1,0,0,0,0
Image_23_jpeg.rf.88523fb517a115f87ce9a69e2a90910d.jpg,0,1,0,0,0
The-perfect-way-to-apply-the-Hot-Spot-Gel_00538_jpg.rf.821c3d31efc8726e4ff09b13f2ee494b.jpg,0,0,0,0,1
69869142_2813720881974689_7556977064478244864_n_jpg.rf.86f4b28079e83a1af56437502504c364.jpg,0,0,0,1,0
Image_58_jpg.rf.8ac8105b46b859198f49218d6f2707bb.jpg,0,1,0,0,0
ringworm-106-_jpg.rf.8b5738ec69789b2ad8fedb9dae357e76.jpg,0,0,0,1,0
Thank-you-all-for-your-support_00016_jpg.rf.8816c060698cc201ddcb3a64b1002bf0.jpg,1,0,0,0,0
mange-16-_jpg.rf.8b5e7d0d8c190d6803150240aad3e605.jpg,0,0,0,0,1
Image_38_jpg.rf.8d6abe7a57a11ef70acee20eac267513.jpg,0,1,0,0,0
mange-29-_jpg.rf.8c0cf8ac246e3b13560b7d8efcf92e4f.jpg,0,0,0,0,1
ringworm-101-_jpg.rf.8839c5255ac7c210185112991db3931d.jpg,0,0,0,1,0
1000010654_x16_jpg.rf.85b59c84008e43b20164b1c706857f0d.jpg,0,0,0,1,0
Image_69_jpg.rf.8bef9d968ce8dfa06dbc60e602cbe0bb.jpg,0,1,0,0,0
hotspot-20-_jpg.rf.8bb4e5161cfe73572884c39facdc0325.jpg,0,0,1,0,0
hotspot-114-_jpg.rf.85e2022755300ce7f72ed50ac405f564.jpg,0,0,0,0,1
1000010656_x16_jpg.rf.8df5e1c04c72353a26b00d6c92dd9f84.jpg,1,0,0,0,0
431b67dc8abef58a33f606ec6d5b2bd00e016900_jpeg_jpg.rf.8c53c1e7839b4fabbfcbc46fc7fb53e8.jpg,0,0,0,0,1
A332365_1_En_4_Fig38_HTML_x4_jpg.rf.8d18609ded978dea076eb0400ac89954.jpg,0,0,0,0,1
ringworm-9-_jpg.rf.8dc4218dcd8f6ccd2980c4c9a1eee691.jpg,0,0,0,1,0
hotspot-68-_jpg.rf.8d9c778ce58236d098ed061e7d607cf2.jpg,1,0,0,0,0
Image_60_jpg.rf.8811938b52bca3cfa49431b2c7e5cf79.jpg,0,1,0,0,0
hotspot-64-_jpg.rf.8b198d446bbdb3fb5a575355e1800b39.jpg,1,0,0,0,0
1000010501_x4_jpg.rf.8d9b5c205f70da96600d0fd066c0c01a.jpg,0,0,0,1,0
1af1e05f9bea841e74c3ef58a2aa86841c3b929c_jpeg_jpg.rf.8e9ae3bdb57d9b7568dbec8357b5a644.jpg,0,0,1,0,1
mange-34-_jpg.rf.8cfb0f68b733ef28222b43a8b931fa64.jpg,0,0,0,0,1
hotspot-70-_jpg.rf.8ef9a75a6933badef68c1c85b6af022b.jpg,1,0,0,0,0
Image_68_jpg.rf.8e0e26e50f94250c81e1f1eef6c33d29.jpg,0,1,0,0,0
mange-36-_jpg.rf.8f5fb461fa240d42127978e83974bd4c.jpg,0,0,0,0,1
May-is-allergy-awareness-month-here-at-The-Shot-Spot_00127_jpg.rf.8e60d43afb43b1e663c9e5bc441cae27.jpg,1,0,0,0,0
HOT-SPOT-IN-DOG-HOW-vet-treated-symptom-prevention_-flea-bite-moist-eczema_dog-itching-000484_png_jpg.rf.8823c766572581e0b02e4a60cc6238df.jpg,0,0,0,0,1
hot-spots-suck_00079_jpg.rf.9063c8340b374716c791b10edcec6048.jpg,1,0,0,0,0
flea_allergy-4-_jpg.rf.915969677634ff316c8c4eabeb7aad9b.jpg,0,0,1,0,0
1000010750_x16_jpg.rf.8717afec5bbb81cc6f8ddc6cb35c1a30.jpg,0,0,0,0,1
ringworm-64-_jpg.rf.9166871605b96782c458f0faa889bef4.jpg,0,0,0,1,0
flea_allergy-73-_jpg.rf.91dbb5f0220e45b04b7ca873a46a4a8e.jpg,0,0,0,0,1
mange-43-_jpg.rf.8748a0b6fc234e48f83997bac686a5ef.jpg,0,0,0,0,1
HOT-SPOT-IN-DOG-HOW-vet-treated-symptom-prevention_-flea-bite-moist-eczema_dog-itching-000497_png_jpg.rf.8ffbb22f7d29922356c339c8e2e6b76e.jpg,0,0,0,0,1
1000010578_x4_jpg.rf.8f1ff1d849ccbad63f29304835409d4a.jpg,0,0,1,0,0
ringworm-135-_jpg.rf.90527e16b58f3386109501362d26f8d2.jpg,0,0,0,1,0
OIP-7-_x16_jpg.rf.8ea5a6442d85783764597aa8be725b50.jpg,0,0,1,0,0
1000010535_x16_jpg.rf.902fac5f9552e9a0450595fe48b6e8d9.jpg,0,0,0,0,1
hotspot-98-_jpg.rf.872123e8b8256067e954d56f6d5d8fcc.jpg,1,0,0,0,0
Image_13_jpg.rf.9283883ed70d3f5e292fd60f23d49bc2.jpg,0,1,0,0,0
Poodle-hotspot-care-000121_png_jpg.rf.9349930192699965a9e2b601b4f1be87.jpg,0,0,1,0,0
hotspot-46-_jpg.rf.90587ea2db25466768802406892231e6.jpg,1,0,0,0,0
1000010744_x16_jpg.rf.93a291d896c9983d1d7e30d12e7acce2.jpg,0,0,1,0,0
mange-33-_jpg.rf.93f9a134b6c1a4f8737ef54f9ef1ce32.jpg,0,0,0,0,1
May-is-allergy-awareness-month-here-at-The-Shot-Spot_02323_jpg.rf.93a152b2eee27abc2752d0adf5128ef4.jpg,0,0,1,0,0
